title,description,category,duration_minutes,difficulty,intensity_level,sopk_benefits,symptom_targets,contraindications,instructions,equipment_needed,audio_guide_url,video_preview_url,easy_modifications,advanced_variations
Méditation Soir Sommeil Profond,Méditation guidée apaisante et accessible.,meditation,25,beginner,1,"{stress_reduction,better_sleep,hormonal_balance,mood_improvement}","{insomnia,anxiety,stress,mood_swings}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Respiration tranquille"", ""duration"": ""2 min"", ""description"": ""Installez-vous assise ou allongée, allongez le souffle."", ""repetitions"": ""6 cycles"", ""breathing"": ""in 4 / out 6""}], ""duration"": 2}, {""phase"": ""main"", ""exercises"": [{""name"": ""Méditation guidée"", ""duration"": ""6 min"", ""description"": ""Laissez la voix guider un scan corporel et des visualisations apaisantes."", ""repetitions"": ""continu"", ""breathing"": ""naturelle""}], ""duration"": 7}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Reprise douce"", ""duration"": ""1 min"", ""description"": ""Bougez doigts et orteils, étirez-vous."", ""repetitions"": ""N/A"", ""breathing"": ""profonde""}], ""duration"": 1}]",{cushion},https://sopk-app.com/audio/1.mp3,NULL,"{S'asseoir sur une chaise,Garder les yeux ouverts,Raccourcir la séance}","{Prolonger à 20 minutes,Pratiquer en silence,Ajouter un mantra}"
Méditation Matinale Énergie Positif,Méditation guidée apaisante et accessible.,meditation,35,beginner,1,"{energy_boost,stress_reduction,mood_improvement}","{fatigue,low_energy,stress}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Respiration tranquille"", ""duration"": ""2 min"", ""description"": ""Installez-vous assise ou allongée, allongez le souffle."", ""repetitions"": ""6 cycles"", ""breathing"": ""in 4 / out 6""}], ""duration"": 1}, {""phase"": ""main"", ""exercises"": [{""name"": ""Méditation guidée"", ""duration"": ""3 min"", ""description"": ""Laissez la voix guider un scan corporel et des visualisations apaisantes."", ""repetitions"": ""continu"", ""breathing"": ""naturelle""}], ""duration"": 3}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Reprise douce"", ""duration"": ""1 min"", ""description"": ""Bougez doigts et orteils, étirez-vous."", ""repetitions"": ""N/A"", ""breathing"": ""profonde""}], ""duration"": 1}]",{cushion},https://sopk-app.com/audio/2.mp3,NULL,"{S'asseoir sur une chaise,Garder les yeux ouverts,Raccourcir la séance}","{Prolonger à 20 minutes,Pratiquer en silence,Ajouter un mantra}"
Pause Méditative Anti-Stress Midi,Méditation guidée apaisante et accessible.,meditation,15,beginner,1,"{stress_reduction,mood_improvement,energy_boost}","{anxiety,stress,fatigue}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Respiration tranquille"", ""duration"": ""2 min"", ""description"": ""Installez-vous assise ou allongée, allongez le souffle."", ""repetitions"": ""6 cycles"", ""breathing"": ""in 4 / out 6""}], ""duration"": 2}, {""phase"": ""main"", ""exercises"": [{""name"": ""Méditation guidée"", ""duration"": ""11 min"", ""description"": ""Laissez la voix guider un scan corporel et des visualisations apaisantes."", ""repetitions"": ""continu"", ""breathing"": ""naturelle""}], ""duration"": 12}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Reprise douce"", ""duration"": ""1 min"", ""description"": ""Bougez doigts et orteils, étirez-vous."", ""repetitions"": ""N/A"", ""breathing"": ""profonde""}], ""duration"": 1}]",{cushion},https://sopk-app.com/audio/3.mp3,NULL,"{S'asseoir sur une chaise,Garder les yeux ouverts,Raccourcir la séance}","{Prolonger à 20 minutes,Pratiquer en silence,Ajouter un mantra}"
Respiration Cohérente 4-6,Exercice de respiration simple et efficace pour apaiser et réguler.,breathing,5,beginner,1,"{stress_reduction,improved_circulation,mood_improvement}","{anxiety,stress,insomnia}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Installation"", ""duration"": ""1 min"", ""description"": ""Position confortable, observez le souffle."", ""repetitions"": ""N/A"", ""breathing"": ""naturelle""}], ""duration"": 1}, {""phase"": ""main"", ""exercises"": [{""name"": ""Technique respiratoire"", ""duration"": ""3 min"", ""description"": ""Rythme régulier adapté."", ""repetitions"": ""continu"", ""breathing"": ""guidée""}], ""duration"": 3}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Expiration longue"", ""duration"": ""1 min"", ""description"": ""Laissez tomber les tensions."", ""repetitions"": ""3 soupirs"", ""breathing"": ""longue""}], ""duration"": 1}]",{},https://sopk-app.com/audio/4.mp3,NULL,"{Pratiquer allongée,Ralentir le rythme,Faire des pauses}","{Prolonger à 10 minutes,Essayer l'alternée,Associer une musique douce}"
Respiration Diaphragmatique Anti-Douleurs,Exercice de respiration simple et efficace pour apaiser et réguler.,breathing,10,beginner,1,"{stress_reduction,reduced_inflammation,hormonal_balance,improved_circulation}","{period_pain,pelvic_pain,back_pain,stress}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Installation"", ""duration"": ""1 min"", ""description"": ""Position confortable, observez le souffle."", ""repetitions"": ""N/A"", ""breathing"": ""naturelle""}], ""duration"": 1}, {""phase"": ""main"", ""exercises"": [{""name"": ""Technique respiratoire"", ""duration"": ""8 min"", ""description"": ""Rythme régulier adapté."", ""repetitions"": ""continu"", ""breathing"": ""guidée""}], ""duration"": 8}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Expiration longue"", ""duration"": ""1 min"", ""description"": ""Laissez tomber les tensions."", ""repetitions"": ""3 soupirs"", ""breathing"": ""longue""}], ""duration"": 1}]",{},https://sopk-app.com/audio/5.mp3,NULL,"{Pratiquer allongée,Ralentir le rythme,Faire des pauses}","{Prolonger à 10 minutes,Essayer l'alternée,Associer une musique douce}"
Routine Respiratoire Énergisante,Exercice de respiration simple et efficace pour apaiser et réguler.,breathing,15,beginner,1,"{energy_boost,improved_circulation,mood_improvement}","{fatigue,low_energy,poor_circulation}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Installation"", ""duration"": ""1 min"", ""description"": ""Position confortable, observez le souffle."", ""repetitions"": ""N/A"", ""breathing"": ""naturelle""}], ""duration"": 1}, {""phase"": ""main"", ""exercises"": [{""name"": ""Technique respiratoire"", ""duration"": ""13 min"", ""description"": ""Rythme régulier adapté."", ""repetitions"": ""continu"", ""breathing"": ""guidée""}], ""duration"": 13}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Expiration longue"", ""duration"": ""1 min"", ""description"": ""Laissez tomber les tensions."", ""repetitions"": ""3 soupirs"", ""breathing"": ""longue""}], ""duration"": 1}]",{},https://sopk-app.com/audio/6.mp3,NULL,"{Pratiquer allongée,Ralentir le rythme,Faire des pauses}","{Prolonger à 10 minutes,Essayer l'alternée,Associer une musique douce}"
Étirements Doux du Matin,Routine de mobilité pour délier en douceur et améliorer l'aisance.,mobility,7,beginner,2,"{improved_circulation,stress_reduction,mood_improvement}","{back_pain,poor_circulation,fatigue,stress}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Respiration + mobilisation simple"", ""duration"": ""2 min"", ""description"": ""Épaules, cou, chevilles."", ""repetitions"": ""lente"", ""breathing"": ""fluide""}], ""duration"": 1}, {""phase"": ""main"", ""exercises"": [{""name"": ""Séquence de mobilité"", ""duration"": ""5 min"", ""description"": ""Mouvements articulaires progressifs."", ""repetitions"": ""séries courtes"", ""breathing"": ""coordonnée""}], ""duration"": 5}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirements légers"", ""duration"": ""1 min"", ""description"": ""Relâchement global."", ""repetitions"": ""tenues courtes"", ""breathing"": ""calme""}], ""duration"": 1}]",{mat},NULL,https://sopk-app.com/video/7.mp4,"{Faire sur une chaise,Réduire l'amplitude,Se tenir à un mur}","{Tenir plus longtemps,Ajouter un élastique,Répéter la routine}"
Mobilité Articulaire Complète,Routine de mobilité pour délier en douceur et améliorer l'aisance.,mobility,20,medium,3,"{improved_circulation,stress_reduction,mood_improvement}","{back_pain,poor_circulation,fatigue,stress}","{recent_surgery,acute_pain}","[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Respiration + mobilisation simple"", ""duration"": ""2 min"", ""description"": ""Épaules, cou, chevilles."", ""repetitions"": ""lente"", ""breathing"": ""fluide""}], ""duration"": 2}, {""phase"": ""main"", ""exercises"": [{""name"": ""Séquence de mobilité"", ""duration"": ""17 min"", ""description"": ""Mouvements articulaires progressifs."", ""repetitions"": ""séries courtes"", ""breathing"": ""coordonnée""}], ""duration"": 17}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirements légers"", ""duration"": ""1 min"", ""description"": ""Relâchement global."", ""repetitions"": ""tenues courtes"", ""breathing"": ""calme""}], ""duration"": 1}]",{mat},NULL,https://sopk-app.com/video/8.mp4,"{Faire sur une chaise,Réduire l'amplitude,Se tenir à un mur}","{Tenir plus longtemps,Ajouter un élastique,Répéter la routine}"
Étirements du Soir Anti-Stress,Routine de mobilité pour délier en douceur et améliorer l'aisance.,mobility,10,easy,1,"{improved_circulation,stress_reduction,mood_improvement}","{back_pain,poor_circulation,fatigue,stress}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Respiration + mobilisation simple"", ""duration"": ""2 min"", ""description"": ""Épaules, cou, chevilles."", ""repetitions"": ""lente"", ""breathing"": ""fluide""}], ""duration"": 2}, {""phase"": ""main"", ""exercises"": [{""name"": ""Séquence de mobilité"", ""duration"": ""7 min"", ""description"": ""Mouvements articulaires progressifs."", ""repetitions"": ""séries courtes"", ""breathing"": ""coordonnée""}], ""duration"": 7}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirements légers"", ""duration"": ""1 min"", ""description"": ""Relâchement global."", ""repetitions"": ""tenues courtes"", ""breathing"": ""calme""}], ""duration"": 1}]",{mat},NULL,https://sopk-app.com/video/9.mp4,"{Faire sur une chaise,Réduire l'amplitude,Se tenir à un mur}","{Tenir plus longtemps,Ajouter un élastique,Répéter la routine}"
Mobilité Hanches & Bassin,Routine de mobilité pour délier en douceur et améliorer l'aisance.,mobility,15,easy,2,"{improved_circulation,stress_reduction,mood_improvement}","{back_pain,poor_circulation,fatigue,stress}","{recent_surgery,acute_pain}","[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Respiration + mobilisation simple"", ""duration"": ""2 min"", ""description"": ""Épaules, cou, chevilles."", ""repetitions"": ""lente"", ""breathing"": ""fluide""}], ""duration"": 2}, {""phase"": ""main"", ""exercises"": [{""name"": ""Séquence de mobilité"", ""duration"": ""12 min"", ""description"": ""Mouvements articulaires progressifs."", ""repetitions"": ""séries courtes"", ""breathing"": ""coordonnée""}], ""duration"": 12}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirements légers"", ""duration"": ""1 min"", ""description"": ""Relâchement global."", ""repetitions"": ""tenues courtes"", ""breathing"": ""calme""}], ""duration"": 1}]",{mat},NULL,https://sopk-app.com/video/10.mp4,"{Faire sur une chaise,Réduire l'amplitude,Se tenir à un mur}","{Tenir plus longtemps,Ajouter un élastique,Répéter la routine}"
Mobilité Dos & Épaules,Routine de mobilité pour délier en douceur et améliorer l'aisance.,mobility,20,easy,2,"{improved_circulation,stress_reduction,mood_improvement}","{back_pain,poor_circulation,fatigue,stress}","{recent_surgery,acute_pain}","[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Respiration + mobilisation simple"", ""duration"": ""2 min"", ""description"": ""Épaules, cou, chevilles."", ""repetitions"": ""lente"", ""breathing"": ""fluide""}], ""duration"": 2}, {""phase"": ""main"", ""exercises"": [{""name"": ""Séquence de mobilité"", ""duration"": ""17 min"", ""description"": ""Mouvements articulaires progressifs."", ""repetitions"": ""séries courtes"", ""breathing"": ""coordonnée""}], ""duration"": 17}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirements légers"", ""duration"": ""1 min"", ""description"": ""Relâchement global."", ""repetitions"": ""tenues courtes"", ""breathing"": ""calme""}], ""duration"": 1}]",{mat},NULL,https://sopk-app.com/video/11.mp4,"{Faire sur une chaise,Réduire l'amplitude,Se tenir à un mur}","{Tenir plus longtemps,Ajouter un élastique,Répéter la routine}"
Mobilité Dynamique Corps Entier,Routine de mobilité pour délier en douceur et améliorer l'aisance.,mobility,25,medium,3,"{improved_circulation,stress_reduction,mood_improvement}","{back_pain,poor_circulation,fatigue,stress}","{recent_surgery,acute_pain}","[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Respiration + mobilisation simple"", ""duration"": ""2 min"", ""description"": ""Épaules, cou, chevilles."", ""repetitions"": ""lente"", ""breathing"": ""fluide""}], ""duration"": 2}, {""phase"": ""main"", ""exercises"": [{""name"": ""Séquence de mobilité"", ""duration"": ""22 min"", ""description"": ""Mouvements articulaires progressifs."", ""repetitions"": ""séries courtes"", ""breathing"": ""coordonnée""}], ""duration"": 22}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirements légers"", ""duration"": ""1 min"", ""description"": ""Relâchement global."", ""repetitions"": ""tenues courtes"", ""breathing"": ""calme""}], ""duration"": 1}]",{mat},NULL,https://sopk-app.com/video/12.mp4,"{Faire sur une chaise,Réduire l'amplitude,Se tenir à un mur}","{Tenir plus longtemps,Ajouter un élastique,Répéter la routine}"
Yoga Doux Crampes Menstruelles,Séance thérapeutique pour apaiser les douleurs et relâcher le bas-ventre.,yoga,20,beginner,1,"{stress_reduction,hormonal_balance,reduced_inflammation}","{period_pain,bloating,back_pain,stress}",{heavy_menstruation},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Respiration abdominale"", ""duration"": ""3 min"", ""description"": ""Allongée, mains sur le ventre."", ""repetitions"": ""10 cycles"", ""breathing"": ""in 4 / out 6""}], ""duration"": 3}, {""phase"": ""main"", ""exercises"": [{""name"": ""Postures restauratives"", ""duration"": ""15 min"", ""description"": ""Enfant, torsion douce, papillon allongé."", ""repetitions"": ""tenues longues"", ""breathing"": ""calme""}], ""duration"": 15}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Savasana"", ""duration"": ""2 min"", ""description"": ""Relaxation finale."", ""repetitions"": ""immobile"", ""breathing"": ""libre""}], ""duration"": 2}]","{mat,cushion,wall}",https://sopk-app.com/audio/13.mp3,NULL,"{Ajouter des coussins,Raccourcir les postures,Pratiquer près d'un mur}","{Prolonger les tenues,Respiration Ujjayi,Transitions fluides}"
Yoga Doux Bas-Ventre Apaisé,Séance thérapeutique pour apaiser les douleurs et relâcher le bas-ventre.,yoga,15,easy,1,"{stress_reduction,hormonal_balance,reduced_inflammation}","{period_pain,bloating,back_pain,stress}",{heavy_menstruation},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Respiration abdominale"", ""duration"": ""3 min"", ""description"": ""Allongée, mains sur le ventre."", ""repetitions"": ""10 cycles"", ""breathing"": ""in 4 / out 6""}], ""duration"": 3}, {""phase"": ""main"", ""exercises"": [{""name"": ""Postures restauratives"", ""duration"": ""10 min"", ""description"": ""Enfant, torsion douce, papillon allongé."", ""repetitions"": ""tenues longues"", ""breathing"": ""calme""}], ""duration"": 10}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Savasana"", ""duration"": ""2 min"", ""description"": ""Relaxation finale."", ""repetitions"": ""immobile"", ""breathing"": ""libre""}], ""duration"": 2}]","{mat,cushion,wall}",https://sopk-app.com/audio/14.mp3,NULL,"{Ajouter des coussins,Raccourcir les postures,Pratiquer près d'un mur}","{Prolonger les tenues,Respiration Ujjayi,Transitions fluides}"
Yoga Doux Jambes au Mur,Séance thérapeutique pour apaiser les douleurs et relâcher le bas-ventre.,yoga,10,beginner,1,"{stress_reduction,hormonal_balance,reduced_inflammation}","{period_pain,bloating,back_pain,stress}",{heavy_menstruation},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Respiration abdominale"", ""duration"": ""3 min"", ""description"": ""Allongée, mains sur le ventre."", ""repetitions"": ""10 cycles"", ""breathing"": ""in 4 / out 6""}], ""duration"": 2}, {""phase"": ""main"", ""exercises"": [{""name"": ""Postures restauratives"", ""duration"": ""6 min"", ""description"": ""Enfant, torsion douce, papillon allongé."", ""repetitions"": ""tenues longues"", ""breathing"": ""calme""}], ""duration"": 6}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Savasana"", ""duration"": ""2 min"", ""description"": ""Relaxation finale."", ""repetitions"": ""immobile"", ""breathing"": ""libre""}], ""duration"": 2}]","{mat,cushion,wall}",https://sopk-app.com/audio/15.mp3,NULL,"{Ajouter des coussins,Raccourcir les postures,Pratiquer près d'un mur}","{Prolonger les tenues,Respiration Ujjayi,Transitions fluides}"
Yoga Doux Détente Lutéale,Séance thérapeutique pour apaiser les douleurs et relâcher le bas-ventre.,yoga,25,easy,2,"{stress_reduction,hormonal_balance,reduced_inflammation}","{period_pain,bloating,back_pain,stress}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Respiration abdominale"", ""duration"": ""3 min"", ""description"": ""Allongée, mains sur le ventre."", ""repetitions"": ""10 cycles"", ""breathing"": ""in 4 / out 6""}], ""duration"": 3}, {""phase"": ""main"", ""exercises"": [{""name"": ""Postures restauratives"", ""duration"": ""20 min"", ""description"": ""Enfant, torsion douce, papillon allongé."", ""repetitions"": ""tenues longues"", ""breathing"": ""calme""}], ""duration"": 20}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Savasana"", ""duration"": ""2 min"", ""description"": ""Relaxation finale."", ""repetitions"": ""immobile"", ""breathing"": ""libre""}], ""duration"": 2}]","{mat,cushion,wall}",https://sopk-app.com/audio/16.mp3,NULL,"{Ajouter des coussins,Raccourcir les postures,Pratiquer près d'un mur}","{Prolonger les tenues,Respiration Ujjayi,Transitions fluides}"
Flow Yoga Dynamique Énergie,"Flow dynamique pour tonifier, activer le cardio et l'équilibre.",yoga,25,medium,3,"{energy_boost,insulin_sensitivity,cardiovascular_health,muscle_strength}","{low_energy,insulin_resistance,weight_gain,stress}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Salutations au soleil"", ""duration"": ""5 min"", ""description"": ""Échauffement global en flow."", ""repetitions"": ""3-5 cycles"", ""breathing"": ""coordonnée""}], ""duration"": 5}, {""phase"": ""main"", ""exercises"": [{""name"": ""Enchaînement guerriers/planche"", ""duration"": ""17 min"", ""description"": ""Transitions contrôlées, rythme modéré."", ""repetitions"": ""séries"", ""breathing"": ""rythmée""}], ""duration"": 17}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirements + pli avant"", ""duration"": ""3 min"", ""description"": ""Retour au calme."", ""repetitions"": ""tenues"", ""breathing"": ""allongée""}], ""duration"": 3}]",{mat},NULL,https://sopk-app.com/video/17.mp4,"{Poser les genoux en planche,Réduire l'amplitude,Ralentir le flow}","{Accélérer le rythme,Ajouter des sauts contrôlés,Tenir les postures plus longtemps}"
Yoga Dynamique Renforcement & Équilibre,"Flow dynamique pour tonifier, activer le cardio et l'équilibre.",yoga,30,medium,4,"{energy_boost,insulin_sensitivity,cardiovascular_health,muscle_strength}","{low_energy,insulin_resistance,weight_gain,stress}",{joint_problems},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Salutations au soleil"", ""duration"": ""5 min"", ""description"": ""Échauffement global en flow."", ""repetitions"": ""3-5 cycles"", ""breathing"": ""coordonnée""}], ""duration"": 5}, {""phase"": ""main"", ""exercises"": [{""name"": ""Enchaînement guerriers/planche"", ""duration"": ""22 min"", ""description"": ""Transitions contrôlées, rythme modéré."", ""repetitions"": ""séries"", ""breathing"": ""rythmée""}], ""duration"": 22}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirements + pli avant"", ""duration"": ""3 min"", ""description"": ""Retour au calme."", ""repetitions"": ""tenues"", ""breathing"": ""allongée""}], ""duration"": 3}]",{mat},NULL,https://sopk-app.com/video/18.mp4,"{Poser les genoux en planche,Réduire l'amplitude,Ralentir le flow}","{Accélérer le rythme,Ajouter des sauts contrôlés,Tenir les postures plus longtemps}"
Initiation Vinyasa Doux,"Flow dynamique pour tonifier, activer le cardio et l'équilibre.",yoga,20,easy,3,"{energy_boost,insulin_sensitivity,cardiovascular_health,muscle_strength}","{low_energy,insulin_resistance,weight_gain,stress}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Salutations au soleil"", ""duration"": ""5 min"", ""description"": ""Échauffement global en flow."", ""repetitions"": ""3-5 cycles"", ""breathing"": ""coordonnée""}], ""duration"": 4}, {""phase"": ""main"", ""exercises"": [{""name"": ""Enchaînement guerriers/planche"", ""duration"": ""13 min"", ""description"": ""Transitions contrôlées, rythme modéré."", ""repetitions"": ""séries"", ""breathing"": ""rythmée""}], ""duration"": 13}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirements + pli avant"", ""duration"": ""3 min"", ""description"": ""Retour au calme."", ""repetitions"": ""tenues"", ""breathing"": ""allongée""}], ""duration"": 3}]",{mat},NULL,https://sopk-app.com/video/19.mp4,"{Poser les genoux en planche,Réduire l'amplitude,Ralentir le flow}","{Accélérer le rythme,Ajouter des sauts contrôlés,Tenir les postures plus longtemps}"
