title,description,category,duration_minutes,difficulty,intensity_level,sopk_benefits,symptom_targets,contraindications,instructions,equipment_needed,audio_guide_url,video_preview_url,easy_modifications,advanced_variations
Yoga Dynamique Spécial Ovulation,"Flow dynamique pour tonifier, activer le cardio et l'équilibre.",yoga,30,advanced,5,"{energy_boost,insulin_sensitivity,cardiovascular_health,muscle_strength}","{low_energy,insulin_resistance,weight_gain,stress}",{joint_problems},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Salutations au soleil"", ""duration"": ""5 min"", ""description"": ""Échauffement global en flow."", ""repetitions"": ""3-5 cycles"", ""breathing"": ""coordonnée""}], ""duration"": 5}, {""phase"": ""main"", ""exercises"": [{""name"": ""Enchaînement guerriers/planche"", ""duration"": ""22 min"", ""description"": ""Transitions contrôlées, rythme modéré."", ""repetitions"": ""séries"", ""breathing"": ""rythmée""}], ""duration"": 22}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirements + pli avant"", ""duration"": ""3 min"", ""description"": ""Retour au calme."", ""repetitions"": ""tenues"", ""breathing"": ""allongée""}], ""duration"": 3}]",{mat},NULL,https://sopk-app.com/video/20.mp4,"{Poser les genoux en planche,Réduire l'amplitude,Ralentir le flow}","{Accélérer le rythme,Ajouter des sauts contrôlés,Tenir les postures plus longtemps}"
Yoga Restauratif Détente Profonde,Séance ultra-douce axée sur la récupération nerveuse et hormonale.,yoga,30,easy,1,"{stress_reduction,better_sleep,hormonal_balance,reduced_inflammation}","{anxiety,insomnia,stress,mood_swings}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Installation props"", ""duration"": ""3 min"", ""description"": ""Coussins, couvertures."", ""repetitions"": ""N/A"", ""breathing"": ""calme""}], ""duration"": 3}, {""phase"": ""main"", ""exercises"": [{""name"": ""Postures restauratives"", ""duration"": ""25 min"", ""description"": ""Papillon allongé, torsion supportée, jambes au mur."", ""repetitions"": ""tenues longues"", ""breathing"": ""profonde""}], ""duration"": 25}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Savasana prolongé"", ""duration"": ""2 min"", ""description"": ""Abandon total."", ""repetitions"": ""immobile"", ""breathing"": ""libre""}], ""duration"": 2}]","{mat,cushion,block,wall}",https://sopk-app.com/audio/21.mp3,NULL,"{Multiplier les supports,Tenir moins longtemps,Fermer les yeux}","{Tenir 5-8 minutes,Respiration alternée,Scan corporel}"
Yoga Restauratif Anti-Stress,Séance ultra-douce axée sur la récupération nerveuse et hormonale.,yoga,35,easy,1,"{stress_reduction,better_sleep,hormonal_balance,reduced_inflammation}","{anxiety,insomnia,stress,mood_swings}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Installation props"", ""duration"": ""3 min"", ""description"": ""Coussins, couvertures."", ""repetitions"": ""N/A"", ""breathing"": ""calme""}], ""duration"": 3}, {""phase"": ""main"", ""exercises"": [{""name"": ""Postures restauratives"", ""duration"": ""30 min"", ""description"": ""Papillon allongé, torsion supportée, jambes au mur."", ""repetitions"": ""tenues longues"", ""breathing"": ""profonde""}], ""duration"": 30}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Savasana prolongé"", ""duration"": ""2 min"", ""description"": ""Abandon total."", ""repetitions"": ""immobile"", ""breathing"": ""libre""}], ""duration"": 2}]","{mat,cushion,block,wall}",https://sopk-app.com/audio/22.mp3,NULL,"{Multiplier les supports,Tenir moins longtemps,Fermer les yeux}","{Tenir 5-8 minutes,Respiration alternée,Scan corporel}"
Yoga Restauratif Sommeil,Séance ultra-douce axée sur la récupération nerveuse et hormonale.,yoga,20,beginner,1,"{stress_reduction,better_sleep,hormonal_balance,reduced_inflammation}","{anxiety,insomnia,stress,mood_swings}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Installation props"", ""duration"": ""3 min"", ""description"": ""Coussins, couvertures."", ""repetitions"": ""N/A"", ""breathing"": ""calme""}], ""duration"": 3}, {""phase"": ""main"", ""exercises"": [{""name"": ""Postures restauratives"", ""duration"": ""15 min"", ""description"": ""Papillon allongé, torsion supportée, jambes au mur."", ""repetitions"": ""tenues longues"", ""breathing"": ""profonde""}], ""duration"": 15}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Savasana prolongé"", ""duration"": ""2 min"", ""description"": ""Abandon total."", ""repetitions"": ""immobile"", ""breathing"": ""libre""}], ""duration"": 2}]","{mat,cushion,block,wall}",https://sopk-app.com/audio/23.mp3,NULL,"{Multiplier les supports,Tenir moins longtemps,Fermer les yeux}","{Tenir 5-8 minutes,Respiration alternée,Scan corporel}"
Yoga Restauratif Cycle Lutéal,Séance ultra-douce axée sur la récupération nerveuse et hormonale.,yoga,15,easy,1,"{stress_reduction,better_sleep,hormonal_balance,reduced_inflammation}","{anxiety,insomnia,stress,mood_swings}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Installation props"", ""duration"": ""3 min"", ""description"": ""Coussins, couvertures."", ""repetitions"": ""N/A"", ""breathing"": ""calme""}], ""duration"": 2}, {""phase"": ""main"", ""exercises"": [{""name"": ""Postures restauratives"", ""duration"": ""11 min"", ""description"": ""Papillon allongé, torsion supportée, jambes au mur."", ""repetitions"": ""tenues longues"", ""breathing"": ""profonde""}], ""duration"": 11}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Savasana prolongé"", ""duration"": ""2 min"", ""description"": ""Abandon total."", ""repetitions"": ""immobile"", ""breathing"": ""libre""}], ""duration"": 2}]","{mat,cushion,block,wall}",https://sopk-app.com/audio/24.mp3,NULL,"{Multiplier les supports,Tenir moins longtemps,Fermer les yeux}","{Tenir 5-8 minutes,Respiration alternée,Scan corporel}"
Marche Guidée 10 min – Mise en Mouvement,Séance de marche simple et efficace pour bouger sans impact.,walking,10,easy,2,"{improved_circulation,cardiovascular_health,mood_improvement,weight_management}","{fatigue,low_energy,poor_circulation,depression}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Départ progressif"", ""duration"": ""2-5 min"", ""description"": ""Allure tranquille + respiration."", ""repetitions"": ""N/A"", ""breathing"": ""calme""}], ""duration"": 2}, {""phase"": ""main"", ""exercises"": [{""name"": ""Marche continue"", ""duration"": ""7 min"", ""description"": ""Allure confortable (parler possible)."", ""repetitions"": ""continu"", ""breathing"": ""naturelle""}], ""duration"": 3}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Retour au calme"", ""duration"": ""2-5 min"", ""description"": ""Ralentir + étirements rapides."", ""repetitions"": ""N/A"", ""breathing"": ""profonde""}], ""duration"": 2}]",{},NULL,https://sopk-app.com/video/25.mp4,"{Allure plus lente,Segmenter en petites sessions,Choisir terrain plat}","{Allonger la durée,Ajouter des côtes légères,Utiliser des bâtons}"
Marche Active 20 min – Vitalité,Séance de marche simple et efficace pour bouger sans impact.,walking,20,medium,3,"{improved_circulation,cardiovascular_health,mood_improvement,weight_management}","{fatigue,low_energy,poor_circulation,depression}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Départ progressif"", ""duration"": ""2-5 min"", ""description"": ""Allure tranquille + respiration."", ""repetitions"": ""N/A"", ""breathing"": ""calme""}], ""duration"": 2}, {""phase"": ""main"", ""exercises"": [{""name"": ""Marche continue"", ""duration"": ""13 min"", ""description"": ""Allure confortable (parler possible)."", ""repetitions"": ""continu"", ""breathing"": ""naturelle""}], ""duration"": 13}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Retour au calme"", ""duration"": ""2-5 min"", ""description"": ""Ralentir + étirements rapides."", ""repetitions"": ""N/A"", ""breathing"": ""profonde""}], ""duration"": 2}]",{},NULL,https://sopk-app.com/video/26.mp4,"{Allure plus lente,Segmenter en petites sessions,Choisir terrain plat}","{Allonger la durée,Ajouter des côtes légères,Utiliser des bâtons}"
Marche Nature 40 min – Endurance Douce,Séance de marche simple et efficace pour bouger sans impact.,walking,40,easy,2,"{improved_circulation,cardiovascular_health,mood_improvement,weight_management}","{fatigue,low_energy,poor_circulation,depression}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Départ progressif"", ""duration"": ""2-5 min"", ""description"": ""Allure tranquille + respiration."", ""repetitions"": ""N/A"", ""breathing"": ""calme""}], ""duration"": 5}, {""phase"": ""main"", ""exercises"": [{""name"": ""Marche continue"", ""duration"": ""33 min"", ""description"": ""Allure confortable (parler possible)."", ""repetitions"": ""continu"", ""breathing"": ""naturelle""}], ""duration"": 33}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Retour au calme"", ""duration"": ""2-5 min"", ""description"": ""Ralentir + étirements rapides."", ""repetitions"": ""N/A"", ""breathing"": ""profonde""}], ""duration"": 5}]",{},NULL,https://sopk-app.com/video/27.mp4,"{Allure plus lente,Segmenter en petites sessions,Choisir terrain plat}","{Allonger la durée,Ajouter des côtes légères,Utiliser des bâtons}"
Danse Libre 10 min – Boost d'Humeur,Danse accessible pour transpirer avec le sourire.,dance,10,easy,3,"{mood_improvement,energy_boost,cardiovascular_health,weight_management}","{low_energy,stress,mood_swings,poor_circulation}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Mise en rythme"", ""duration"": ""3-5 min"", ""description"": ""Pas simples + bras."", ""repetitions"": ""N/A"", ""breathing"": ""naturelle""}], ""duration"": 3}, {""phase"": ""main"", ""exercises"": [{""name"": ""Danse en continu"", ""duration"": ""4 min"", ""description"": ""Pas de base + variations."", ""repetitions"": ""continu"", ""breathing"": ""rythmée""}], ""duration"": 4}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Retour au calme"", ""duration"": ""2 min"", ""description"": ""Danse lente + étirements."", ""repetitions"": ""N/A"", ""breathing"": ""profonde""}], ""duration"": 2}]",{},NULL,https://sopk-app.com/video/28.mp4,"{Sans sauts,Mouvements petits,Pauses fréquentes}","{Mouvements plus amples,Ajouter déplacements,Allonger la partie intense}"
Danse Cardio 25 min – Rythme & Plaisir,Danse accessible pour transpirer avec le sourire.,dance,25,medium,4,"{mood_improvement,energy_boost,cardiovascular_health,weight_management}","{low_energy,stress,mood_swings,poor_circulation}",{joint_problems},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Mise en rythme"", ""duration"": ""3-5 min"", ""description"": ""Pas simples + bras."", ""repetitions"": ""N/A"", ""breathing"": ""naturelle""}], ""duration"": 5}, {""phase"": ""main"", ""exercises"": [{""name"": ""Danse en continu"", ""duration"": ""18 min"", ""description"": ""Pas de base + variations."", ""repetitions"": ""continu"", ""breathing"": ""rythmée""}], ""duration"": 18}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Retour au calme"", ""duration"": ""2 min"", ""description"": ""Danse lente + étirements."", ""repetitions"": ""N/A"", ""breathing"": ""profonde""}], ""duration"": 2}]",{},NULL,https://sopk-app.com/video/29.mp4,"{Sans sauts,Mouvements petits,Pauses fréquentes}","{Mouvements plus amples,Ajouter déplacements,Allonger la partie intense}"
Danse Endurance 35 min – Entraînement Ludique,Danse accessible pour transpirer avec le sourire.,dance,35,medium,4,"{mood_improvement,energy_boost,cardiovascular_health,weight_management}","{low_energy,stress,mood_swings,poor_circulation}",{joint_problems},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Mise en rythme"", ""duration"": ""3-5 min"", ""description"": ""Pas simples + bras."", ""repetitions"": ""N/A"", ""breathing"": ""naturelle""}], ""duration"": 5}, {""phase"": ""main"", ""exercises"": [{""name"": ""Danse en continu"", ""duration"": ""28 min"", ""description"": ""Pas de base + variations."", ""repetitions"": ""continu"", ""breathing"": ""rythmée""}], ""duration"": 28}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Retour au calme"", ""duration"": ""2 min"", ""description"": ""Danse lente + étirements."", ""repetitions"": ""N/A"", ""breathing"": ""profonde""}], ""duration"": 2}]",{},NULL,https://sopk-app.com/video/30.mp4,"{Sans sauts,Mouvements petits,Pauses fréquentes}","{Mouvements plus amples,Ajouter déplacements,Allonger la partie intense}"
Cardio Intervalles Doux 15 min,"Circuit cardio léger par intervalles, sans impact.",cardio_light,15,medium,3,"{cardiovascular_health,energy_boost,insulin_sensitivity,weight_management}","{low_energy,insulin_resistance,weight_gain,stress}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Marche dynamique"", ""duration"": ""3 min"", ""description"": ""Genoux montés doux + bras."", ""repetitions"": ""N/A"", ""breathing"": ""calme""}], ""duration"": 3}, {""phase"": ""main"", ""exercises"": [{""name"": ""Intervalles 30/15"", ""duration"": ""9 min"", ""description"": ""Exos au sol sans saut (step touch, talons-fesses, box step)."", ""repetitions"": ""cycles 30s/15s"", ""breathing"": ""rythmée""}], ""duration"": 9}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Marche lente + étirements"", ""duration"": ""3 min"", ""description"": ""Retour au calme global."", ""repetitions"": ""N/A"", ""breathing"": ""profonde""}], ""duration"": 3}]",{timer},NULL,https://sopk-app.com/video/31.mp4,"{Allonger le repos,Réduire l'amplitude,S'appuyer à un mur}","{Répéter le circuit,Réduire le repos,Lever les genoux plus haut}"
Cardio Intervalles Doux 20 min,"Circuit cardio léger par intervalles, sans impact.",cardio_light,20,medium,4,"{cardiovascular_health,energy_boost,insulin_sensitivity,weight_management}","{low_energy,insulin_resistance,weight_gain,stress}","{high_blood_pressure,pregnancy_first_trimester}","[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Marche dynamique"", ""duration"": ""3 min"", ""description"": ""Genoux montés doux + bras."", ""repetitions"": ""N/A"", ""breathing"": ""calme""}], ""duration"": 3}, {""phase"": ""main"", ""exercises"": [{""name"": ""Intervalles 30/15"", ""duration"": ""14 min"", ""description"": ""Exos au sol sans saut (step touch, talons-fesses, box step)."", ""repetitions"": ""cycles 30s/15s"", ""breathing"": ""rythmée""}], ""duration"": 14}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Marche lente + étirements"", ""duration"": ""3 min"", ""description"": ""Retour au calme global."", ""repetitions"": ""N/A"", ""breathing"": ""profonde""}], ""duration"": 3}]",{timer},NULL,https://sopk-app.com/video/32.mp4,"{Allonger le repos,Réduire l'amplitude,S'appuyer à un mur}","{Répéter le circuit,Réduire le repos,Lever les genoux plus haut}"
Renforcement Doux Corps Entier – Initiation,Renforcement global sans impact pour activer les muscles en sécurité.,strength,10,beginner,2,"{muscle_strength,insulin_sensitivity,improved_circulation,weight_management}","{fatigue,insulin_resistance,weight_gain,poor_circulation}",{recent_surgery},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Marche sur place + mobilisations"", ""duration"": ""3 min"", ""description"": ""Prépare le corps."", ""repetitions"": ""N/A"", ""breathing"": ""calme""}], ""duration"": 2}, {""phase"": ""main"", ""exercises"": [{""name"": ""Circuit renfo basique"", ""duration"": ""6 min"", ""description"": ""Pompes murales, squats, tirage élastique, gainage genoux."", ""repetitions"": ""2-3 tours"", ""breathing"": ""coordonnée""}], ""duration"": 6}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirements ciblés"", ""duration"": ""2 min"", ""description"": ""Quadriceps, ischios, épaules."", ""repetitions"": ""15-30 sec"", ""breathing"": ""profonde""}], ""duration"": 2}]","{wall,chair,mat}",NULL,https://sopk-app.com/video/33.mp4,"{Utiliser un plan plus haut,Réduire les répétitions,Pauses plus longues}","{Ajouter halteres légères,Plus de tours,Réduire le repos}"
Renforcement Corps Entier – Circuit Doux,Renforcement global sans impact pour activer les muscles en sécurité.,strength,25,beginner,3,"{muscle_strength,insulin_sensitivity,improved_circulation,weight_management}","{fatigue,insulin_resistance,weight_gain,poor_circulation}",{recent_surgery},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Marche sur place + mobilisations"", ""duration"": ""3 min"", ""description"": ""Prépare le corps."", ""repetitions"": ""N/A"", ""breathing"": ""calme""}], ""duration"": 3}, {""phase"": ""main"", ""exercises"": [{""name"": ""Circuit renfo basique"", ""duration"": ""20 min"", ""description"": ""Pompes murales, squats, tirage élastique, gainage genoux."", ""repetitions"": ""2-3 tours"", ""breathing"": ""coordonnée""}], ""duration"": 20}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirements ciblés"", ""duration"": ""2 min"", ""description"": ""Quadriceps, ischios, épaules."", ""repetitions"": ""15-30 sec"", ""breathing"": ""profonde""}], ""duration"": 2}]","{wall,chair,mat}",NULL,https://sopk-app.com/video/34.mp4,"{Utiliser un plan plus haut,Réduire les répétitions,Pauses plus longues}","{Ajouter halteres légères,Plus de tours,Réduire le repos}"
Full Body 20 min – Débutante,Renforcement global sans impact pour activer les muscles en sécurité.,strength,20,easy,3,"{muscle_strength,insulin_sensitivity,improved_circulation,weight_management}","{fatigue,insulin_resistance,weight_gain,poor_circulation}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Marche sur place + mobilisations"", ""duration"": ""3 min"", ""description"": ""Prépare le corps."", ""repetitions"": ""N/A"", ""breathing"": ""calme""}], ""duration"": 3}, {""phase"": ""main"", ""exercises"": [{""name"": ""Circuit renfo basique"", ""duration"": ""15 min"", ""description"": ""Pompes murales, squats, tirage élastique, gainage genoux."", ""repetitions"": ""2-3 tours"", ""breathing"": ""coordonnée""}], ""duration"": 15}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirements ciblés"", ""duration"": ""2 min"", ""description"": ""Quadriceps, ischios, épaules."", ""repetitions"": ""15-30 sec"", ""breathing"": ""profonde""}], ""duration"": 2}]","{wall,chair,mat}",NULL,https://sopk-app.com/video/35.mp4,"{Utiliser un plan plus haut,Réduire les répétitions,Pauses plus longues}","{Ajouter halteres légères,Plus de tours,Réduire le repos}"
Full Body 30 min – Endurance Musculaire,Renforcement global sans impact pour activer les muscles en sécurité.,strength,30,medium,4,"{muscle_strength,insulin_sensitivity,improved_circulation,weight_management}","{fatigue,insulin_resistance,weight_gain,poor_circulation}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Marche sur place + mobilisations"", ""duration"": ""3 min"", ""description"": ""Prépare le corps."", ""repetitions"": ""N/A"", ""breathing"": ""calme""}], ""duration"": 3}, {""phase"": ""main"", ""exercises"": [{""name"": ""Circuit renfo basique"", ""duration"": ""25 min"", ""description"": ""Pompes murales, squats, tirage élastique, gainage genoux."", ""repetitions"": ""2-3 tours"", ""breathing"": ""coordonnée""}], ""duration"": 25}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirements ciblés"", ""duration"": ""2 min"", ""description"": ""Quadriceps, ischios, épaules."", ""repetitions"": ""15-30 sec"", ""breathing"": ""profonde""}], ""duration"": 2}]","{wall,chair,mat}",NULL,https://sopk-app.com/video/36.mp4,"{Utiliser un plan plus haut,Réduire les répétitions,Pauses plus longues}","{Ajouter halteres légères,Plus de tours,Réduire le repos}"
Core Adapté SOPK – Centre Stable,"Travail du centre sans pression excessive, idéal pour la stabilité.",strength,15,easy,3,"{muscle_strength,insulin_sensitivity,stress_reduction}","{back_pain,insulin_resistance,stress}","{back_injury,recent_surgery}","[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Respiration transverse"", ""duration"": ""2 min"", ""description"": ""Connexion abdos profonds."", ""repetitions"": ""10 cycles"", ""breathing"": ""latérale""}], ""duration"": 2}, {""phase"": ""main"", ""exercises"": [{""name"": ""Séquence centre"", ""duration"": ""11 min"", ""description"": ""Bird-dog, dead bug, pont fessier, side plank modifiée."", ""repetitions"": ""séries contrôlées"", ""breathing"": ""contrôlée""}], ""duration"": 11}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirement dos"", ""duration"": ""2 min"", ""description"": ""En boule / enfant."", ""repetitions"": ""N/A"", ""breathing"": ""calme""}], ""duration"": 2}]",{mat},NULL,https://sopk-app.com/video/37.mp4,"{Tête au sol en crunch,Tenir moins longtemps,Poser les genoux}","{Planche complète,Plus de répétitions,Ajouter mini-élastique}"
Core Adapté SOPK – Ceinture Profonde,"Travail du centre sans pression excessive, idéal pour la stabilité.",strength,20,medium,3,"{muscle_strength,insulin_sensitivity,stress_reduction}","{back_pain,insulin_resistance,stress}","{back_injury,recent_surgery}","[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Respiration transverse"", ""duration"": ""2 min"", ""description"": ""Connexion abdos profonds."", ""repetitions"": ""10 cycles"", ""breathing"": ""latérale""}], ""duration"": 2}, {""phase"": ""main"", ""exercises"": [{""name"": ""Séquence centre"", ""duration"": ""16 min"", ""description"": ""Bird-dog, dead bug, pont fessier, side plank modifiée."", ""repetitions"": ""séries contrôlées"", ""breathing"": ""contrôlée""}], ""duration"": 16}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirement dos"", ""duration"": ""2 min"", ""description"": ""En boule / enfant."", ""repetitions"": ""N/A"", ""breathing"": ""calme""}], ""duration"": 2}]",{mat},NULL,https://sopk-app.com/video/38.mp4,"{Tête au sol en crunch,Tenir moins longtemps,Poser les genoux}","{Planche complète,Plus de répétitions,Ajouter mini-élastique}"
Bas du Corps – Jambes & Fessiers,Ciblage des jambes et fessiers pour force fonctionnelle.,strength,25,medium,4,"{muscle_strength,insulin_sensitivity,weight_management}","{weight_gain,insulin_resistance,poor_circulation}","{joint_problems,back_injury}","[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Ouverture hanches + squats faciles"", ""duration"": ""4 min"", ""description"": ""Prépare cuisses et hanches."", ""repetitions"": ""N/A"", ""breathing"": ""calme""}], ""duration"": 4}, {""phase"": ""main"", ""exercises"": [{""name"": ""Jambes & fessiers"", ""duration"": ""18 min"", ""description"": ""Squats, fentes, levés de mollets, pont unilatéral."", ""repetitions"": ""séries"", ""breathing"": ""coordonnée""}], ""duration"": 18}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirements bas du corps"", ""duration"": ""3 min"", ""description"": ""Quadri, ischios, mollets."", ""repetitions"": ""30 sec"", ""breathing"": ""profonde""}], ""duration"": 3}]","{mat,wall}",NULL,https://sopk-app.com/video/39.mp4,"{Amplitudes réduites,Soutien chaise,Plus de repos}","{Ajouter halteres légères,Rallonger les séries,Wall sit plus long}"
Bas du Corps – Puissance Contrôlée,Ciblage des jambes et fessiers pour force fonctionnelle.,strength,30,advanced,5,"{muscle_strength,insulin_sensitivity,weight_management}","{weight_gain,insulin_resistance,poor_circulation}","{joint_problems,back_injury}","[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Ouverture hanches + squats faciles"", ""duration"": ""4 min"", ""description"": ""Prépare cuisses et hanches."", ""repetitions"": ""N/A"", ""breathing"": ""calme""}], ""duration"": 4}, {""phase"": ""main"", ""exercises"": [{""name"": ""Jambes & fessiers"", ""duration"": ""23 min"", ""description"": ""Squats, fentes, levés de mollets, pont unilatéral."", ""repetitions"": ""séries"", ""breathing"": ""coordonnée""}], ""duration"": 23}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirements bas du corps"", ""duration"": ""3 min"", ""description"": ""Quadri, ischios, mollets."", ""repetitions"": ""30 sec"", ""breathing"": ""profonde""}], ""duration"": 3}]","{mat,wall}",NULL,https://sopk-app.com/video/40.mp4,"{Amplitudes réduites,Soutien chaise,Plus de repos}","{Ajouter halteres légères,Rallonger les séries,Wall sit plus long}"
